ϣⲉⲛⲟⲩⲧⲉ	person	person/M
ϩⲁⲙⲱⲥ	person	person/M
ϩⲉⲣⲙⲟⲅⲉⲛⲏⲥ	person	person/M
ϩⲏⲗⲉⲓⲁⲥ	person	person/M
ϩⲏⲗⲓⲁⲥ	person	person/M
ϩⲏⲣⲱⲇⲏⲥ	person	person/M
ϩⲏⲣⲱⲇⲓⲁⲥ	person	person/M
ϩⲣⲁⲁⲃ	person	person/F
ϩⲣⲁⲭⲏⲗ	person	person/F
ϩⲣⲉⲃⲉⲕⲕⲁ	person	person/F
ϩⲣⲟⲃⲟⲁⲙ	person	person/M
ϩⲣⲟⲩⲫⲟⲥ	person	person/M
ϩⲩⲙⲉⲛⲁⲓⲟⲥ	person	person/M
ϩⲩⲡⲉⲣⲉⲭⲓⲟⲥ	person	person/M
ⲁⲁⲣⲱⲛ	person	person/M
ⲁⲃⲉⲗ	person	person/M
ⲁⲃⲓⲁ	person	person/M
ⲁⲃⲓⲁⲑⲁⲣ	person	person/M
ⲁⲃⲓⲟⲩⲇ	person	person/M
ⲁⲃⲣⲁϩⲁⲙ	person	person/M
ⲁⲅⲟⲩⲥⲧⲟⲥ	person	person/M
ⲁⲅⲣⲓⲡⲡⲁⲥ	person	person/M
ⲁⲇⲁⲙ	person	person/M
ⲁⲍⲱⲣⲁ	person	person/M
ⲁⲍⲱⲣⲁⲥ	person	person/M
ⲁⲕⲩⲗⲁⲥ	person	person/M
ⲁⲗⲉⲝⲁⲛⲇⲣⲟⲥ	person	person/M
ⲁⲗⲫⲁⲓⲟⲥ	person	person/M
ⲁⲙⲓⲛⲁⲇⲁⲃ	person	person/M
ⲁⲙⲱⲛⲁ	person	person/M
ⲁⲛⲁⲛⲓⲁⲥ	person	person/M
ⲁⲛⲇⲣⲉⲁⲥ	person	person/M
ⲁⲛⲛⲁ	person	person/F
ⲁⲛⲛⲁⲥ	person	person/M
ⲁⲛⲧⲱⲛⲓⲟⲥ	person	person/M
ⲁⲡⲟⲗⲗⲱ	person	person/M
ⲁⲡⲡⲓⲟⲥ	person	person/M
ⲁⲣⲁⲙ	person	person/M
ⲁⲣⲉⲧⲁ	person	person/M
ⲁⲣⲓⲥⲧⲁⲣⲭⲟⲥ	person	person/M
ⲁⲣⲭⲏⲗⲁⲟⲥ	person	person/M
ⲁⲥⲁⲫ	person	person/M
