ⲃⲁϣⲟⲣ	animal	animal/F
ϩⲙϩⲁⲗ	person	person/M
ⲙⲁⲙⲙⲱⲛⲁⲥ	person	person/M
ⲙⲟⲩⲓ	animal	animal/M
ⲭⲣⲓⲥⲧⲟⲥ	person	person/M
ⲓⲏⲥⲟⲩⲥ	person	person/M
ⲭⲣⲉⲓⲥⲧⲓⲁⲛⲟⲥ	person	person/M
ⲇⲓⲁⲃⲟⲗⲟⲥ	person	person/M
ⲉⲓⲱⲧ	person	person/M
ⲣⲱⲙⲉ	person	person/M
ϣⲓⲡⲉ	abstract	abstract/M
ⲉⲟⲟⲩ	abstract	abstract/M
ⲙⲁ	place	place/M
ⲧⲁⲉⲓⲟ	abstract	abstract/M
ⲙⲛⲧⲗⲏⲥⲧⲏⲥ	abstract	abstract/F
ⲛⲟⲩⲧⲉ	person	person/M
ⲥⲣⲁϩⲧ	abstract	abstract/M
ⲏⲣⲡ	substance	substance/M
ϣⲕⲁⲕ	event	event/M
ⲏⲓ	place	place/M
ⲡⲛⲏ	place	place/M
ⲕⲣⲟⲛⲟⲥ	person	person/M
ⲅⲣⲁⲙⲙⲁⲧⲉⲩⲥ	person	person/M
ⲡⲣⲟⲫⲏⲧⲏⲥ	person	person/M
ⲣⲁⲛ	abstract	abstract/M
ⲉⲡⲓⲥⲧⲟⲗⲏ	object	object/F
ⲥⲁⲧⲁⲛⲁⲥ	person	person/M
ϩⲣⲟⲟⲩ	abstract	abstract/PL
ⲭⲁⲣⲧⲏⲥ	object	object/M
ⲙⲛⲧⲁⲕⲁⲑⲁⲣⲧⲟⲥ	abstract	abstract/F
ⲙⲛⲧⲁⲡⲓⲥⲧⲟⲥ	abstract	abstract/F
ⲫⲟⲛⲟⲥ	event	event/M
ⲟⲩⲁ	abstract	abstract/M
ϩⲱⲃ	abstract	abstract/M
ϣⲁϫⲉ	abstract	abstract/M
ⲙⲛⲧⲣⲙϩⲉ	abstract	abstract/F
ⲣⲟ	object	object/M
#NEW
ϣϭⲟⲙ	abstract	abstract/F
ϩⲁϩ	abstract	abstract/F
ϩⲁⲏ	abstract	abstract/F
ϩⲉⲗⲡⲓⲥ	abstract	abstract/F
ϩⲉ	abstract	abstract/F
ϩⲏ	abstract	abstract/F
ϩⲓⲕⲱⲛ	abstract	abstract/F
ϩⲟⲧⲉ	abstract	abstract/F
ϩⲣⲟⲟⲩ	abstract	abstract/F
ϭⲓⲛⲟⲩⲟⲟⲙ	abstract	abstract/F
ϭⲟⲙ	abstract	abstract/F
ϭⲟⲧ	abstract	abstract/F
ⲁϣⲏ	abstract	abstract/F
ⲁⲅⲁⲡⲏ	abstract	abstract/F
ⲁⲓⲧⲉⲓ	abstract	abstract/F
ⲁⲕⲁⲑⲁⲣⲥⲓⲁ	abstract	abstract/F
ⲁⲛⲁⲥⲧⲁⲥⲓⲥ	abstract	abstract/F
ⲁⲛⲟⲙⲓⲁ	abstract	abstract/F
ⲁⲥⲟⲩ	abstract	abstract/F
ⲁⲥⲡⲉ	abstract	abstract/F
ⲁⲧⲥⲃⲱ	abstract	abstract/F
ⲃⲟⲧⲉ	abstract	abstract/F
ⲅⲉⲛⲉⲁ	abstract	abstract/F
ⲅⲛⲱⲙⲏ	abstract	abstract/F
ⲅⲣⲁⲫⲏ	abstract	abstract/F
ⲇⲓⲁⲑⲏⲕⲏ	abstract	abstract/F
ⲇⲓⲁⲕⲟⲛⲓⲁ	abstract	abstract/F
ⲇⲓⲕⲁⲓⲟⲥⲩⲛⲏ	abstract	abstract/F
ⲉⲓⲣⲏⲛⲏ	abstract	abstract/F
ⲉⲛⲧⲟⲗⲏ	abstract	abstract/F
ⲉⲝⲟⲩⲥⲓⲁ	abstract	abstract/F
ⲉⲡⲓⲑⲩⲙⲓⲁ	abstract	abstract/F
ⲉⲡⲓⲥⲧⲏⲙⲏ	abstract	abstract/F
ⲑⲗⲓⲯⲓⲥ	abstract	abstract/F
ⲕⲗⲏⲣⲟⲛⲟⲙⲓⲁ	abstract	abstract/F
ⲕⲟⲓⲛⲱⲛⲓⲁ	abstract	abstract/F
ⲕⲣⲓⲥⲓⲥ	abstract	abstract/F
ⲗⲁⲕⲙ	abstract	abstract/F
ⲙⲁϣⲉ	abstract	abstract/F
ⲙⲉ	abstract	abstract/F
ⲙⲓⲛⲉ	abstract	abstract/F
ⲙⲛⲧϣⲁϥⲧⲉ	abstract	abstract/F
ⲙⲛⲧϣⲁⲛϩⲧⲏ	abstract	abstract/F
ⲙⲛⲧϩⲁⲣϣϩⲏⲧ	abstract	abstract/F
ⲙⲛⲧϩⲙϩⲁⲗ	abstract	abstract/F
ⲙⲛⲧϫⲁⲥⲓϩⲏⲧ	abstract	abstract/F
ⲙⲛⲧⲁⲅⲁⲑⲟⲥ	abstract	abstract/F
ⲙⲛⲧⲁⲕⲁⲑⲁⲣⲧⲟⲥ	abstract	abstract/F
ⲙⲛⲧⲁⲡⲓⲥⲧⲟⲥ	abstract	abstract/F
ⲙⲛⲧⲁⲣⲅⲟⲥ	abstract	abstract/F
ⲙⲛⲧⲁⲧⲛⲁϩⲧⲉ	abstract	abstract/F
ⲙⲛⲧⲁⲧⲛⲟⲩⲧⲉ	abstract	abstract/F
ⲙⲛⲧⲁⲧⲥⲃⲱ	abstract	abstract/F
ⲙⲛⲧⲁⲧⲥⲟⲟⲩⲛ	abstract	abstract/F
ⲙⲛⲧⲁⲧⲥⲱⲧⲙ	abstract	abstract/F
ⲙⲛⲧⲉⲣⲟ	abstract	abstract/F
ⲙⲛⲧⲙⲛⲧⲣⲉ	abstract	abstract/F
ⲙⲛⲧⲛⲟⲩⲧⲉ	abstract	abstract/F
ⲙⲛⲧⲣⲉ	abstract	abstract/F
ⲙⲛⲧⲣⲙϩⲉ	abstract	abstract/F
ⲙⲛⲧⲣⲙⲛⲧϩⲏⲧ	abstract	abstract/F
ⲙⲛⲧⲣⲣⲟ	abstract	abstract/F
ⲙⲛⲧⲥⲁⲃⲉ	abstract	abstract/F
ⲙⲛⲧⲥⲛⲟⲟⲩⲥ	abstract	abstract/F
ⲙⲛⲧⲥⲟϭ	abstract	abstract/F
ⲙⲟⲣⲫⲏ	abstract	abstract/F
ⲛⲟϥⲣⲉ	abstract	abstract/F
ⲟⲣⲅⲏ	abstract	abstract/F
ⲡⲁϣⲉ	abstract	abstract/F
ⲡⲁⲣⲁⲃⲟⲗⲏ	abstract	abstract/F
ⲡⲁⲣⲁⲇⲟⲥⲓⲥ	abstract	abstract/F
ⲡⲓⲥⲧⲓⲥ	abstract	abstract/F
ⲡⲟⲛⲏⲣⲓⲁ	abstract	abstract/F
ⲡⲟⲣⲛⲉⲓⲁ	abstract	abstract/F
ⲡⲟⲣⲛⲏ	abstract	abstract/F
ⲡⲟⲣⲛⲓⲁ	abstract	abstract/F
ⲡⲣⲁⲝⲓⲥ	abstract	abstract/F
ⲥⲁⲧⲉ	abstract	abstract/F
ⲥⲃⲱ	abstract	abstract/F
ⲥⲙⲏ	abstract	abstract/F
ⲥⲙⲟⲧ	abstract	abstract/F
ⲥⲟⲫⲓⲁ	abstract	abstract/F
ⲥⲩⲛⲓⲇⲏⲥⲓⲥ	abstract	abstract/F
ⲥⲩⲛⲧⲉⲗⲉⲓⲁ	abstract	abstract/F
ⲧⲁⲡⲣⲟ	abstract	abstract/F
ⲧⲉⲭⲛⲏ	abstract	abstract/F
ⲧⲓⲙⲏ	abstract	abstract/F
ⲭⲁⲣⲓⲥ	abstract	abstract/F
ⲭⲣⲓⲁ	abstract	abstract/F
ⲯⲩⲭⲏ	abstract	abstract/F
ⲁⲥ	abstract	abstract/F
ⲃⲣⲣⲉ	abstract	abstract/F
ⲁⲣⲭⲏ	abstract	abstract/F
ⲉϣⲁⲩ	animal	animal/F
ⲛⲩⲕⲧⲉⲣⲓⲥ	animal	animal/F
ⲥⲏϭ	animal	animal/F
ϭⲁⲙⲟⲩⲗ	animal	animal/F
ⲃⲁⲡⲧⲓⲥⲙⲁ	event	event/F
ⲑⲩⲥⲓⲁ	event	event/F
ϩⲟⲓⲧⲉ	object	object/F
ϣⲟⲛⲧⲉ	object	object/F
ϣⲡⲏⲣⲉ	object	object/F
ϣⲧⲏⲛ	object	object/F
ϩⲁⲗⲩⲥⲓⲥ	object	object/F
ϩⲃⲟⲩⲣ	object	object/F
ϩⲣⲉ	object	object/F
ϩⲣⲱ	object	object/F
ϭⲓϫ	object	object/F
ϭⲟⲣϭⲥ	object	object/F
ϭⲱⲃⲉ	object	object/F
ⲁϭⲟⲗⲧⲉ	object	object/F
ⲁⲅⲉⲗⲏ	object	object/F
ⲁⲗⲁⲃⲁⲥⲧⲣⲟⲛ	object	object/F
ⲁⲡⲉ	object	object/F
ⲃⲱ	object	object/F
ⲉⲡⲓⲥⲧⲟⲗⲏ	object	object/F
ⲕⲗⲟⲟⲗⲉ	object	object/F
ⲗⲩⲭⲛⲓⲁ	object	object/F
ⲙⲁⲥⲧⲓⲅⲝ	object	object/F
ⲛⲟⲩⲛⲉ	object	object/F
ⲟⲩⲉⲣⲏⲧⲉ	object	object/F
ⲟⲩⲛⲁⲙ	object	object/F
ⲡⲉⲧⲣⲁ	object	object/F
ⲥⲁⲣⲝ	object	object/F
ⲥⲁⲧⲉⲉⲣⲉ	object	object/F
ⲥⲏϥⲉ	object	object/F
ⲥⲓⲛⲇⲱⲛ	object	object/F
ⲥⲧⲟⲗⲏ	object	object/F
ⲧⲙⲏ	object	object/F
ⲧⲟⲉⲓⲥ	object	object/F
ⲧⲟⲟⲧ	object	object/F
ⲧⲣⲁⲡⲉⲍⲁ	object	object/F
ⲭⲗⲁⲙⲩⲥ	object	object/F
ϩⲟⲉⲓⲧⲉ	object	object/F
ⲉⲣⲱⲧⲉ	object	object/F
ⲙⲁⲁϫⲉ	object	object/F
ⲱⲛⲉ	object	object/F
ⲉⲕⲕⲗⲏⲥⲓⲁ	organization	organization/F
ⲥⲩⲛⲁⲅⲱⲅⲏ	organization	organization/F
ϣⲉⲉⲣⲉ	person	person/F
ϣⲉⲗⲉⲉⲧ	person	person/F
ϩⲓⲙⲉ	person	person/F
ϩⲗⲗⲱ	person	person/F
ⲁϭⲣⲏⲛ	person	person/F
ⲡⲁⲣⲑⲉⲛⲟⲥ	person	person/F
ⲥϩⲓⲙⲉ	person	person/F
ⲥⲱⲛⲉ	person	person/F
ⲭⲏⲣⲁ	person	person/F
ϩⲁⲗ	person	person/F
ϩⲙϩⲁⲗ	person	person/F
ⲁⲗ	person	person/F
ϣⲱⲙⲉ	place	place/F
ϩⲁⲗⲁⲥⲥⲁ	place	place/F
ϩⲉⲛⲉⲉⲧⲏ	place	place/F
ϩⲓⲏ	place	place/F
ⲁⲅⲟⲣⲁ	place	place/F
ⲁⲩⲗⲏ	place	place/F
ⲅⲉϩⲉⲛⲛⲁ	place	place/F
ⲑⲁⲗⲁⲥⲥⲁ	place	place/F
ⲕⲱⲙⲏ	place	place/F
ⲡⲟⲗⲓⲥ	place	place/F
ⲣⲓ	place	place/F
ⲥⲓⲟⲟⲩⲛⲉ	place	place/F
ⲥⲱϣⲉ	place	place/F
ⲭⲱⲣⲁ	place	place/F
ϩⲧⲟⲟⲩⲉ	time	time/F
ϩⲧⲟⲟⲩ	time	time/F
ϫⲡ	time	time/F
ⲙⲉⲉⲣⲉ	time	time/F
ⲟⲩϣⲏ	time	time/F
ⲟⲩⲛⲟⲩ	time	time/F
ⲣⲟⲙⲡⲉ	time	time/F
ⲩϣⲏ	time	time/F
ⲩⲛⲟⲩ	time	time/F
ϣⲁϫⲉ	abstract	abstract/M
ϣⲃⲃⲓⲱ	abstract	abstract/M
ϣⲏⲙ	abstract	abstract/M
ϣⲓ	abstract	abstract/M
ϣⲕⲁⲕ	abstract	abstract/M
ϣⲟϫⲛⲉ	abstract	abstract/M
ϣⲟⲣⲡ	abstract	abstract/M
ϣⲟⲩϣⲟⲩ	abstract	abstract/M
ϣⲱⲛⲃ	abstract	abstract/M
ϣⲱⲱⲡⲉ	abstract	abstract/M
ϣⲱⲱⲧ	abstract	abstract/M
ϩⲁϩ	abstract	abstract/M
ϩⲁⲡ	abstract	abstract/M
ϩⲏⲧ	abstract	abstract/M
ϩⲓⲥⲉ	abstract	abstract/M
ϩⲙⲟⲧ	abstract	abstract/M
ϩⲟⲩⲉ	abstract	abstract/M
ϩⲟⲩⲛ	abstract	abstract/M
ϩⲟⲩⲟ	abstract	abstract/M
ϩⲧⲟⲣ	abstract	abstract/M
ϩⲱⲡ	abstract	abstract/M
ϩⲱⲥ	abstract	abstract/M
ϫⲓⲛϫⲏ	abstract	abstract/M
ϫⲓⲟⲩⲉ	abstract	abstract/M
ϫⲣⲟⲡ	abstract	abstract/M
ϫⲱϩⲙ	abstract	abstract/M
ϭⲟⲗ	abstract	abstract/M
ϭⲱⲛⲧ	abstract	abstract/M
ⲁϣⲁϩⲟⲙ	abstract	abstract/M
ⲁϣⲁⲓ	abstract	abstract/M
ⲁⲅⲁⲑⲟⲛ	abstract	abstract/M
ⲁⲕⲁⲑⲁⲣⲧⲟⲛ	abstract	abstract/M
ⲁⲛⲁϣ	abstract	abstract/M
ⲁⲛⲁⲅⲕⲁⲓⲟⲛ	abstract	abstract/M
ⲁⲛⲁⲅⲕⲏ	abstract	abstract/M
ⲁⲣⲓⲕⲉ	abstract	abstract/M
ⲃⲉⲕⲉ	abstract	abstract/M
ⲃⲓⲟⲥ	abstract	abstract/M
ⲃⲟⲏⲑⲟⲥ	abstract	abstract/M
ⲅⲁⲙⲟⲥ	abstract	abstract/M
ⲅⲉⲛⲟⲥ	abstract	abstract/M
ⲉⲓⲃⲉ	abstract	abstract/M
ⲉⲓⲇⲱⲗⲟⲛ	abstract	abstract/M
ⲉⲛⲉⲣⲅⲏⲙⲁ	abstract	abstract/M
ⲉⲟⲟⲩ	abstract	abstract/M
ⲉⲩⲁⲅⲅⲉⲗⲓⲟⲛ	abstract	abstract/M
ⲕⲁϩ	abstract	abstract/M
ⲕⲁⲕⲉ	abstract	abstract/M
ⲕⲟⲥⲙⲟⲥ	abstract	abstract/M
ⲕⲟⲧ	abstract	abstract/M
ⲕⲣⲓⲙⲁ	abstract	abstract/M
ⲕⲣⲟϥ	abstract	abstract/M
ⲕⲱϩ	abstract	abstract/M
ⲗⲁⲥ	abstract	abstract/M
ⲙⲁⲉⲓⲛ	abstract	abstract/M
ⲙⲉⲉⲩⲉ	abstract	abstract/M
ⲙⲉⲗⲟⲥ	abstract	abstract/M
ⲙⲉⲣⲟⲥ	abstract	abstract/M
ⲙⲕⲁϩ	abstract	abstract/M
ⲙⲟⲥⲧⲉ	abstract	abstract/M
ⲙⲟⲩ	abstract	abstract/M
ⲙⲧⲟⲛ	abstract	abstract/M
ⲙⲧⲟ	abstract	abstract/M
ⲙⲩⲥⲧⲏⲣⲓⲟⲛ	abstract	abstract/M
ⲛⲁ	abstract	abstract/M
ⲛⲟⲃⲉ	abstract	abstract/M
ⲛⲟⲙⲟⲥ	abstract	abstract/M
ⲛⲟⲩϫ	abstract	abstract/M
ⲟⲉⲓϣ	abstract	abstract/M
ⲟⲥⲉ	abstract	abstract/M
ⲟⲩⲉ	abstract	abstract/M
ⲟⲩⲟⲉⲓⲛ	abstract	abstract/M
ⲟⲩⲟⲉⲓ	abstract	abstract/M
ⲟⲩⲟⲓ	abstract	abstract/M
ⲟⲩⲱϣ	abstract	abstract/M
ⲟⲩⲱⲙ	abstract	abstract/M
ⲟⲩⲱⲛϩ	abstract	abstract/M
ⲡⲁϩⲟⲩ	abstract	abstract/M
ⲡⲁⲑⲟⲥ	abstract	abstract/M
ⲡⲉⲓⲣⲁⲥⲙⲟⲥ	abstract	abstract/M
ⲡⲓⲣⲁⲥⲙⲟⲥ	abstract	abstract/M
ⲡⲛⲉⲩⲙⲁⲧⲓⲕⲟⲛ	abstract	abstract/M
ⲡⲟⲛⲏⲣⲟⲛ	abstract	abstract/M
ⲡⲱⲣϫ	abstract	abstract/M
ⲣⲁⲛ	abstract	abstract/M
ⲣⲟⲟⲩϣ	abstract	abstract/M
ⲣⲱϣⲉ	abstract	abstract/M
ⲥϭⲣⲁϩⲧ	abstract	abstract/M
ⲥⲁϩⲛⲉ	abstract	abstract/M
ⲥⲁϩⲟⲩ	abstract	abstract/M
ⲥⲁⲣⲕⲓⲕⲟⲥ	abstract	abstract/M
ⲥⲁ	abstract	abstract/M
ⲥⲉⲉⲡⲉ	abstract	abstract/M
ⲥⲙⲟⲩ	abstract	abstract/M
ⲥⲟⲉⲓⲧ	abstract	abstract/M
ⲥⲟⲟⲩⲛ	abstract	abstract/M
ⲥⲟⲟⲩⲧⲛ	abstract	abstract/M
ⲥⲟⲡⲥ	abstract	abstract/M
ⲥⲱⲃⲉ	abstract	abstract/M
ⲥⲱⲱϥ	abstract	abstract/M
ⲧⲁⲉⲓⲟ	abstract	abstract/M
ⲧⲁⲕⲟ	abstract	abstract/M
ⲧⲁⲗϭⲟ	abstract	abstract/M
ⲧⲃⲃⲟ	abstract	abstract/M
ⲧⲟϣ	abstract	abstract/M
ⲧⲱϩⲙ	abstract	abstract/M
ⲧⲱⲧ	abstract	abstract/M
ⲭⲁⲣⲓⲥⲙⲁ	abstract	abstract/M
ⲭⲣⲏⲙⲁ	abstract	abstract/M
ⲱⲛϩ	abstract	abstract/M
ⲁⲥ	abstract	abstract/M
ⲃⲣⲣⲉ	abstract	abstract/M
ϩⲱⲃ	abstract	abstract/M
ϩⲟϥ	animal	animal/M
ⲁⲗⲉⲕⲧⲱⲣ	animal	animal/M
ⲉⲥⲟⲟⲩ	animal	animal/M
ⲙⲁⲥⲉ	animal	animal/M
ⲟⲩⲱⲛϣ	animal	animal/M
ⲣⲓⲣ	animal	animal/M
