ⲓⲏⲥⲟⲩⲥ	M
ⲡⲁⲡⲛⲟⲩⲧⲉ	M
ⲃⲉⲥⲁ	M
ⲃⲓⲕⲧⲟⲣ	M
ⲓⲥⲁⲁⲕ	M
ⲕⲁⲥⲓⲁⲛⲟⲥ	M
ⲥⲁⲣⲁ	M
ⲑⲉⲟⲇⲱⲣⲟⲥ	M
ⲁⲙⲙⲟⲛⲁ	M
ⲁⲛⲧⲱⲛⲓⲟⲥ	M
ⲉⲫⲣⲉⲙ	M
ⲃⲏⲥⲁⲣⲓⲟⲛ	M
ϩⲓⲗⲗⲁⲣⲓⲁ	M
ⲁⲃⲣⲁϩⲁⲙ	M
ϣⲉⲛⲟⲩⲧⲉ	M
ϩⲁⲙⲱⲥ	M
ϩⲉⲣⲙⲟⲅⲉⲛⲏⲥ	M
ϩⲏⲗⲉⲓⲁⲥ	M
ϩⲏⲗⲓⲁⲥ	M
ϩⲏⲣⲱⲇⲏⲥ	M
ϩⲏⲣⲱⲇⲓⲁⲥ	M
ϩⲣⲁⲁⲃ	F
ϩⲣⲁⲭⲏⲗ	F
ϩⲣⲉⲃⲉⲕⲕⲁ	F
ϩⲣⲟⲃⲟⲁⲙ	M
ϩⲣⲟⲩⲫⲟⲥ	M
ϩⲩⲙⲉⲛⲁⲓⲟⲥ	M
ϩⲩⲡⲉⲣⲉⲭⲓⲟⲥ	M
ⲁⲁⲣⲱⲛ	M
ⲁⲃⲉⲗ	M
ⲁⲃⲓⲁ	M
ⲁⲃⲓⲁⲑⲁⲣ	M
ⲁⲃⲓⲁⲥ	M
ⲁⲃⲓⲟⲩⲇ	M
ⲁⲃⲣⲁϩⲁⲙ	M
ⲁⲅⲟⲩⲥⲧⲟⲥ	M
ⲁⲅⲣⲓⲡⲡⲁⲥ	M
ⲁⲇⲁⲙ	M
ⲁⲍⲱⲣⲁ	M
ⲁⲍⲱⲣⲁⲥ	M
ⲁⲕⲩⲗⲁⲥ	M
ⲁⲗⲉⲝⲁⲛⲇⲣⲟⲥ	M
ⲁⲗⲫⲁⲓⲟⲥ	M
ⲁⲙⲓⲛⲁⲇⲁⲃ	M
ⲁⲙⲱⲛⲁ	M
ⲁⲛⲁⲛⲓⲁⲥ	M
ⲁⲛⲇⲣⲉⲁⲥ	M
ⲁⲛⲛⲁ	F
ⲁⲛⲛⲁⲥ	M
ⲁⲛⲧⲱⲛⲓⲟⲥ	M
ⲁⲡⲟⲗⲗⲱ	M
ⲁⲡⲡⲓⲟⲥ	M
ⲁⲣⲁⲙ	M
ⲁⲣⲉⲧⲁ	M
ⲁⲣⲓⲥⲧⲁⲣⲭⲟⲥ	M
ⲁⲣⲭⲏⲗⲁⲟⲥ	M
ⲁⲥⲁⲫ	M
ⲁⲫⲑⲟⲛⲓⲁ	F
ⲁⲭⲉⲓⲙ	M
ⲃⲁⲗⲁϩⲁⲙ	M
ⲃⲁⲗⲗⲁ	F
ⲃⲁⲣⲁⲃⲃⲁⲥ	M
ⲃⲁⲣⲁⲭⲓⲁⲥ	M
