# Source: Amir Zeldes
& Co.	suffix
a bunch of	prefix
a couple of	prefix
a form of	prefix
a group of	prefix
a handful of	prefix
a high percentage of	prefix
a kind of	prefix
a liter of	prefix
a lot of	prefix
a number of	prefix
a part of	prefix
a set of	prefix
a sort of	prefix
a team of	prefix
a total of	prefix
a type of	prefix
a.m.	suffix
ago	suffix
all of	prefix
anything but	prefix
atoms	suffix
both of	prefix
Co	suffix
Co.	suffix
Corp	suffix
Corp.	suffix
eight of	prefix
five or	prefix
four of	prefix
GmbH	suffix
grams of	prefix
grams of	prefix
Inc	suffix
Inc.	suffix
LLC	suffix
loads of	prefix
lots of	prefix
Ltd	suffix
Ltd.	suffix
milliliters of	prefix
most of	prefix
N.V.	suffix
nine of	prefix
one of	prefix
one of the most	prefix
p.m.	suffix
pm	suffix
seven of	prefix
six of	prefix
some of	prefix
some sort of	prefix
sort of	prefix
ten of	prefix
that kind of	prefix
that sort of	prefix
the Isle of	prefix
the majority of	prefix
the vast majority of	prefix
these kinds of	prefix
these sorts of	prefix
those kinds of	prefix
those sorts of	prefix
three of	prefix
two of	prefix
what kind of	prefix
what kinds of	prefix
