# Sources: GUM, OntoNotes
New York	989
the Lord	933
the U.S.	531
Hong Kong	442
the United States	412
the US	355
Xinhua News Agency	314
San Francisco	255
The Lord	244
Wall Street	242
the President	205
Los Angeles	185
President Bush	181
the White House	179
the stock market	167
North Korea	148
the Son	144
Mr. Bush	134
the Israelites	131
Saddam Hussein	131
the Spirit	127
President Clinton	125
the Temple	124
program trading	122
the Good News	122
South Korea	119
the Father	119
Dow Jones	116
vice president	109
Prime Minister	109
the Palestinians	107
the United Nations	103
the Senate	102
VOA News	102
the Jews	101
the Soviet Union	101
the Pentagon	99
the Middle East	97
White House	96
the Fed	94
capital - gains	93
the Supreme Court	91
the Bush administration	91
interest rates	90
the God	90
Jesus Christ	90
the Philistines	90
the Ministry	88
King David	86
United Nations	84
stock - index	84
Christ Jesus	83
al - Jazeera	82
the Holy Spirit	82
the House	81
Saudi Arabia	78
New Jersey	71
the Christ	71
mainland China	71
the West Bank	70
stock market	69
the University	69
the UN	68
the West	68
Mr. Clinton	65
Israeli Prime Minister	65
West Germany	63
New Orleans	63
New Zealand	61
the PRC	61
the Americans	61
NBC News	60
the Treasury	59
the Pharisees	59
Air Force	58
the Japanese	57
the IRS	56
George Bush	56
executive vice president	56
King Solomon	55
The World	55
Vice President	53
West Bank	52
New Year	52
junk bond	52
Wal - Mart	51
The U.S.	50
the FBI	50
United States	50
junk bonds	50
Slobodan Milosevic	50
Social Security	49
stock prices	49
Mr. Noriega	48
senior vice president	48
the Jordan River	47
Oct. 13	46
Hurricane Hugo	46
Mao Zedong	46
the peace process	46
the Temple area	46
the Big Board	45
John Bolton	44
the Chinese	44
August 31st	44
Chen Shui - bian	44
September 1st	44
the SEC	44
the CIA	44
the Bank	43
South Africa	43
Middle East	43
World War II	43
Supreme Court	42
King Ahab	42
the Gaza Strip	41
line - item	41
ABC News	41
Big Board	41
U.S. officials	41
Mr. Gorbachev	40
Mr. Krenz	40
the KMT	40
Al Gore	39
junk - bond	39
the Law	39
SCI TV	39
law enforcement	39
the `` USS Cole ''	38
the Sabbath day	38
South Koreans	38
al - Qaeda	37
Human Rights	37
the Lord Jesus	37
Foreign Affairs	37
Yao Ming	37
the ROC	37
