# ONTO DATA
# Sources: Freebase, GUM, WSJ/PTB, added data by Amir Zeldes (see licenses)
°	quantity	quantity/plural
“ah”s	abstract	abstract/plural
“um”s	abstract	abstract/plural
%	quantity	quantity
'50s	time	time/plural
'60s	time	time/plural
'70s	time	time/plural
'80s	time	time/plural
1	time	time
100000	quantity	quantity
11-Sep	event	event
12	time	time
1540s	time	time/plural
18-year-old	person	person
1800s	time	time/plural
1890	time	time
1906	time	time
1920s	time	time/plural
1940s	time	time/inanim
1950s	time	time/inanim
1960s	time	time
1969	time	time
1970	time	time
1970s	time	time
1980s	time	time/plural
1987	time	time
1989	time	time
1990s	time	time/plural
1994	time	time
20	quantity	quantity
2000	time	time
2002	time	time
2005	time	time
2006	time	time
2007	time	time
2008	time	time
2009	time	time
2010	time	time
2011	time	time
2014	time	time
2015	time	time
2050	time	time
20s	time	time/inanim
213	place	place
23	time	time
24	quantity	quantity
25	quantity	quantity
2Pac	person	person
3	quantity	quantity
34th	abstract	abstract
4th	event	event
5	quantity	quantity
60000	quantity	quantity
6:00am	time	time
747	object	object
747-400	object	object/inanim
9	time	time
9/11-related	event	event
A	object	object
a	organization	organization
A.D.	time	time-unit
a.m.	time	time/inanim
aardvark	animal	animal
abatement	abstract	abstract/inanim
abbess	person	person/female
abbot	person	person/male
abducted	person	person
aberration	abstract	abstract/inanim
abilities	abstract	abstract
ability	abstract	abstract/inanim
able	abstract	abstract
abolition	event	event/inanim
abomination	abstract	abstract/inanim
abortion	event	event/inanim
abortion-right	abstract	abstract/inanim
about	quantity	quantity
absence	abstract	abstract/inanim
absenteeism	abstract	abstract/inanim
absorber	object	object/inanim
abstention	event	event/inanim
abuse	event	event/inanim
academia	organization	organization
academic	abstract	abstract
academician	person	person
academy	organization	organization
acceleration	event	event/inanim
accent	abstract	abstract/inanim
acceptance	abstract	abstract/inanim
access	event	event/inanim
Accident	abstract	abstract
accident	abstract	abstract/inanim
accommodation	place	place/inanim
accompaniment	abstract	abstract/inanim
accompanist	person	person
accompli	abstract	abstract/inanim
accomplishment	abstract	abstract/inanim
accord	abstract	abstract/inanim
accordance	abstract	abstract/inanim
accordionist	person	person
account	abstract	abstract/inanim
accountability	abstract	abstract/inanim
accountant	person	person
accounting	abstract	abstract/inanim
accouterments	object	object
accumulation	abstract	abstract/inanim
accuracy	abstract	abstract/inanim
accusation	abstract	abstract/inanim
accuser	person	person
ace	abstract	abstract/inanim
ace	person	person
acetylene	substance	substance/inanim
acfor	person	person
achievements	abstract	abstract
acne	abstract	disease
acorn	plant	plant/inanim
Acphillips	person	person
acquaintance	person	person
acquirer	person	person
acquisition	event	event/inanim
acre	place	place/inanim
act	abstract	abstract/inanim
Act	object	object
acting	abstract	abstract/inanim
action	event	event/inanim
actions	abstract	abstract
active-matrix	abstract	abstract/inanim
activist	person	person
activity	abstract	abstract
activity	event	event/inanim
actor	person	person
actor-manager	person	person
actors	person	person
actress	person	person
actriz	person	person
actuary	person	person
actuary	person	person
acupuncturist	person	person
ad	abstract	abstract
ad-agency	organization	organization
adage	abstract	abstract/inanim
Adams	person	person
adaptations	abstract	abstract/plural
addict	person	person
addition	event	event
address	place	place/inanim
adequacy	abstract	abstract/inanim
adhesive	substance	substance/inanim
adjudicator	person	person
adjusters	object	object
adjustment	abstract	abstract/inanim
adman	person	person
admen	person	person/plural
administration	organization	organization
administrations	organization	organization/plural
