# This table allows three kinds of mappings:
# 1: From major class to comma separated lemmas (place -> place,location)
# 2: From subclass to comma separated lemmas (city -> place,location,burg,metropolis...)
# 3: From markable string to comma separated markable strings (United States -> USA,US,America...)
# Sources: PPDB, Amir Zeldes (see licenses)
µl	μl
µs	μs
éditions	editions
μl	µl
μs	µs
€	euros
ﬂows	ﬂuxes
ﬂuxes	ﬂows
$	dollars
%	cent
%	percent
'orléans	orléans
0legal	0mission
0mission	0legal
0mission	0translation
0purchase	0purchases
0purchases	0purchase
0translation	0mission
10-year	ten-year
10gb	10gbit
10gbit	10gb
1gb	1gbit
1gbit	1gb
2-d	2d
22e	22nd
22nd	22e
28e	28th
28th	28e
2d	2-d
32-bit	32bit
32bit	32-bit
4400	4400s
4400s	4400
4d	4p
4p	4d
5e	5th
5th	5e
64-bit	64bit
64bit	64-bit
6th	sixth
9th	ninth
a.i.	acting
a.k.a.	alias
a.m.	p.m.
aau	aaus
aaus	aau
abattoir	slaughterhouse
abattoirs	slaughterhouses
abd	abdel
abd	abdul
abdallah	abdullah
abdel	abd
abdel	abdul
abduction	kidnapping
abductions	kidnappings
abductor	kidnapper
abdul	abd
abdul	abdel
abdullah	abdallah
ability	capacity
abnds	ands
abnormalities	anomalies
abnormality	anomaly
aboriginal	indigenous
abrasions	scrapes
absence	lack
absorption	uptake
abstention	forbearance
acadian	acadien
acadian	acadienne
acadians	acadiens
acadien	acadian
acadienne	acadian
acadiens	acadians
acc	vac
accelerator	throttle
acclimation	acclimatization
acclimatization	acclimation
accomplishments	achievements
accordance	conformity
accuracy	precision
acetic	anhydride
achievements	accomplishments
acid	acidic
acidic	acid
acknowledges	recognizes
acorns	tassels
act	law
acting	a.i.
actor	man
actor	player
actors	players
actress	woman
adapter	adaptor
adapters	adaptors
adaptor	adapter
adaptors	adapters
add-ins	add-ons
add-ins	snap-ins
add-ons	add-ins
add-ons	snap-ins
addressee	consignee
adiós	adios
adios	adiós
adjudicator	arbitrator
adjuvants	admixtures
admiralty	queensway
admixtures	adjuvants
adolescent	adolescents
adolescents	adolescent
adolescents	teenagers
adrenalin	adrenaline
adrenaline	adrenalin
adult	adults
adults	adult
advantages	benefits
advertising	publicity
adviser	advisor
adviser	counsellor
advisers	advisors
advisor	adviser
advisor	counsellor
advisors	advisers
advisory	consultative
aerodrome	airfield
aerodromes	airfields
aetiology	etiology
affiliates	subsidiaries
afraid	scared
ageing	aging
agent	officer
aggression	assault
aging	ageing
agp	pma
agri-food	agrifood
agricultural	farm
agriculturalists	agronomists
agriculture	farming
agrifood	agri-food
agro-chemicals	agrochemicals
agro-ecosystems	agroecosystems
agro-forestry	agroforestry
agrochemicals	agro-chemicals
agroecosystems	agro-ecosystems
agroforestry	agro-forestry
agronomists	agriculturalists
aid	assistance
aide-mémoire	aide-memoire
aide-memoire	aide-mémoire
aim	objective
aircraft	planes
airfield	aerodrome
airfields	aerodromes
airmen	aviators
airship	dirigible
airworthiness	navigability
al-ahli	al-ahly
al-ahly	al-ahli
al-asad	al-assad
al-asad	assad
al-assad	al-asad
al-aziz	aziz
al-bashir	al-beshir
al-beshir	al-bashir
al-chaab	al-sha'b
al-fallujah	fallujah
al-hariri	hariri
al-islam	islam
al-jazeera	aljazeera
al-mahdi	mahdi
al-nahayan	al-nahyan
al-nahyan	al-nahayan
al-najaf	najaf
al-qa'idah	al-qaida
al-qaida	al-qa'idah
al-qasem	al-qasim
al-qasem	al-qassem
al-qasim	al-qasem
al-qasim	al-qassem
al-qassam	qassam
al-qassem	al-qasem
al-qassem	al-qasim
al-rantisi	al-rantissi
al-rantissi	al-rantisi
al-sadr	sadr
al-sahaf	al-sahhaf
al-sahhaf	al-sahaf
al-sha'b	al-chaab
al-sheikh	sheikh
al-talabani	talabani
al-yawar	al-yawer
al-yawer	al-yawar
al-zarqawi	zarqawi
al-zawahiri	al-zawahri
al-zawahri	al-zawahiri
alcoholates	alkoxides
alewife	gaspereau
alfa	alpha
alias	a.k.a.
alias	aliases
aliases	alias
aliens	foreigners
aljazeera	al-jazeera
alkali	alkaline
alkaline	alkali
alkoxides	alcoholates
all-in-one	multifunction
allele	allelic
allelic	allele
alligators	crocodiles
allocator	mapper
allochthon	allochthonous
allochthonous	allochthon
alloy	alloying
alloying	alloy
allyl	allylic
allylic	allyl
almonds	kernels
alpha	alfa
altitude	elevation
aluminium	aluminum
aluminum	aluminium
America	United States,US,USA
amir	emir
amman	oman
amortization	depreciation
amounts	quantities
amphidiploids	amphiploids
amphiploids	amphidiploids
amplitudes	magnitudes
anaemia	anemia
anaesthesia	anesthesia
anaesthetic	anesthetic
anaesthetics	anesthetics
anaesthetist	anesthesiologist
analgesics	painkillers
analog	analogue
analogue	analog
analyser	analyzer
analysers	analyzers
analyzer	analyser
analyzers	analysers
anarchy	lawlessness
ancestors	forefathers
ancestry	descent
anchor	cribbing
andré	andre
andre	andré
ands	abnds
anemia	anaemia
anesthesia	anaesthesia
anesthesiologist	anaesthetist
anesthetic	anaesthetic
anesthetics	anaesthetics
angio	angiogram
angiogram	angio
angiogram	angiography
angiography	angiogram
anguillans	anguillians
anguillians	anguillans
anhydride	acetic
animal	animal,beast,creature,vertebrate,insect
annex	appendix
annexes	appendices
anniversaries	birthdays
anniversary	birthday
annulment	cancellation
anomalies	abnormalities
anomaly	abnormality
answer	reply
answer	response
answers	replies
answers	responses
antenatal	prenatal
anthem	hymn
anti-depressants	antidepressants
anti-doping	antidoping
anti-dumping	antidumping
anti-freeze	antifreeze
anti-oxidants	antioxidants
anti-riot	riot
anti-semitism	antisemitism
anti-submarine	antisubmarine
anti-virus	antivirus
antidepressants	anti-depressants
antidoping	anti-doping
antidumping	anti-dumping
antifreeze	anti-freeze
antioxidants	anti-oxidants
antiques	antiquities
antiquities	antiques
antisemitism	anti-semitism
antisubmarine	anti-submarine
antivirus	anti-virus
antoine	antony
antony	antoine
aorta	aortic
aortic	aorta
apa	app
apb	pdb
ape	monkey
apes	monkeys
apf	csa
api	apis
apiculture	beekeeping
apis	api
app	apa
apparel	clothing
appellations	designations
appendectomy	appy
appendices	annexes
appendix	annex
application	implementation
application	request
appraiser	evaluator
appropriations	credits
appy	appendectomy
arab	arabic
arabic	arab
arbiter	arbitrator
arbitrator	adjudicator
arbitrator	arbiter
arc	cra
archaeologists	archeologists
archeologists	archaeologists
archive	archiving
archiving	archive
area	field
area	zone
areas	fields
areas	zones
argentina	argentine
argentine	argentina
armistice	truce
arms	weapons
arrowto	iconto
artefacts	artifacts
article	rule
article	section
artifacts	artefacts
artisans	craftsmen
asa	saa
asci	ascus
ascus	asci
ash	ashes
ashes	ash
asia	asian
asian	asia
aspen	poplar
asphyxia	asphyxiation
asphyxiation	asphyxia
assad	al-asad
assailants	attackers
assassin	murderer
assassins	murderers
assault	aggression
assess	evaluate
assessment	evaluation
assessments	evaluations
assessor	evaluator
assessors	evaluators
assignee	transferee
assignees	transferees
assignor	transferor
assignors	transferors
assistance	aid
assistant	deputy
assumption	hypothesis
assumptions	hypotheses
assurance	insurance
asteroides	asteroids
asteroids	asteroides
asymmetric	asymmetrical
asymmetrical	asymmetric
async	asynchronous
asynchronous	async
atr	rta
attackers	assailants
attendee	presence
attenuator	fader
attorney	prosecutor
attract	attracting
attracting	attract
audio-visual	audiovisual
audiovisual	audio-visual
audit	auditing
audit	verification
auditing	audit
aunt	auntie
aunt	woman
auntie	aunt
aunties	aunts
aunts	aunties
authorisation	authorization
authorization	authorisation
authors	perpetrators
auto-negotiation	autonegotiation
autonegotiation	auto-negotiation
autumn	fall
averroës	averroes
averroes	averroës
aviators	airmen
avoidable	preventable
awareness	awareness-raising
awareness-raising	awareness
axis	shaft
axle	shaft
aziz	al-aziz
b13a	b13as
b13as	b13a
baby-sitter	babysitter
babysitter	baby-sitter
babysitter	sitter
back-end	backend
back-pressure	backpressure
backcross	backcrossing
backcrossing	backcross
backend	back-end
backlight	backlighting
backlighting	backlight
backpack	rucksack
backpacks	rucksacks
backpressure	back-pressure
backrest	seat-back
bacteria	bacterium
bacterium	bacteria
bag	purse
baggage	luggage
balance	equilibrium
balkanisation	balkanization
balkanization	balkanisation
ball	bullet
ban	prohibition
bandleader	conductor
banelings	stenches
bangles	bracelets
bank	banking
banking	bank
bans	prohibitions
baptisms	christenings
barbaric	barbarous
barbarism	barbarity
barbarity	barbarism
barbarous	barbaric
barbecue	barbeque
barbecues	barbeques
barbeque	barbecue
barbeques	barbecues
barriers	obstacles
base	basis
basement	cellar
basis	base
bathers	swimmers
bathrobe	robe
bathtub	tub
batons	truncheons
batsman	batsmen
batsmen	batsman
battlefield	battleground
battleground	battlefield
bay	wan
bays	berries
bdu	bdus
bdus	bdu
beads	pearls
beak	bec
beams	girders
bec	beak
bee-keepers	beekeepers
bee-keeping	beekeeping
beehive	hive
beekeepers	bee-keepers
beekeeping	apiculture
beekeeping	bee-keeping
beeper	buzzer
before	prior
behalf	name
behavior	behaviour
behaviour	behavior
beheading	decapitation
belligerence	belligerency
belligerency	belligerence
ben	bin
beneficiaries	recipients
beneficiary	recipient
benefits	advantages
berger	shepherd
berglax	grenadier
berries	bays
berthage	mooring
betrayal	treason
betrayer	traitor
beverages	drinks
bidder	tenderer
bidders	tenderers
biennia	bienniums
bienniums	biennia
bike	motorcycle
bile	biliary
biliary	bile
bill-to	billing
billing	bill-to
billing	invoicing
bin	ben
bin	ibn
bio-diesel	biodiesel
bio-economy	bioeconomy
bio-energy	bioenergy
bio-ethanol	bioethanol
bio-informatics	bioinformatics
bio-piracy	biopiracy
bio-processes	bioprocesses
bio-products	bioproducts
bio-prospecting	bioprospecting
bio-resources	bioresources
bio-terrorism	bioterrorism
biodiesel	bio-diesel
bioeconomy	bio-economy
bioenergy	bio-energy
bioethanol	bio-ethanol
bioinformatics	bio-informatics
biopiracy	bio-piracy
bioprocesses	bio-processes
bioproducts	bio-products
bioprospecting	bio-prospecting
bioresources	bio-resources
biosafety	biosecurity
biosecurity	biosafety
biosynthesis	biosynthetic
biosynthetic	biosynthesis
bioterrorism	bio-terrorism
birders	birdwatchers
birdwatchers	birders
birthday	anniversary
birthdays	anniversaries
biscuits	cookies
bison	buffalo
bitch	slut
blast	explosion
blasts	explosions
blends	mixtures
blimp	dirigible
blinks	flashes
bloc	block
block	bloc
blocks	blocs
blocs	blocks
blond	blonde
blonde	blond
bloodsuckers	leeches
blower	fan
bluffs	cliffs
board	council
boat	vessel
boats	vessels
bodies	organs
body	organ
bog	peatland
bogeyman	boogeyman
bogs	peatlands
bolt	screw
bolts	screws
bombardment	bombing
bombing	bombardment
bombings	explosions
bone-setter	masseur
boobs	breasts
boobs	tits
boogeyman	bogeyman
booklet	brochure
booklets	brochures
bookshop	bookstore
bookstore	bookshop
border	frontier
borders	boundaries
borders	frontiers
botanical	botany
botany	botanical
bottles	cylinders
boundaries	borders
bovine	veal
bowel	intestinal
boy	child,kid
bpdu	bpdus
bpdus	bpdu
bracelets	bangles
brandies	cognacs
brandy	cognac
breach	violation
breast-feeding	breastfeeding
breastfeeding	breast-feeding
breasts	boobs
breasts	tits
breathing	respiration
bridge	jumper
Britain	UK,United Kingdom
brochure	booklet
brochure	pamphlet
brochures	booklets
brochures	pamphlets
brokerage	brokering
brokering	brokerage
bromide	methyl
bronchi	bronchus
bronchus	bronchi
broom	broomstick
broomstick	broom
brotherhood	fraternity
browser	explorer
browser	navigator
