f	muc	bcub	ceafe	size	type
0.676666666667	0.79	1.1	0.14	15	false_neg
1.67666666667	0.79	1.99	2.25	15	false_neg
1.55333333333	1.57	1.62	1.47	15	wrong_link
1.55333333333	1.57	1.62	1.47	15	wrong_link
0.84	0.78	0.94	0.8	0	invent_ante
1.55333333333	1.57	1.62	1.47	15	wrong_link
1.67666666667	1.57	1.32	2.14	2	wrong_link
1.55333333333	1.57	1.62	1.47	15	wrong_link
0.84	0.78	0.94	0.8	0	invent_ante
1.55333333333	1.57	1.62	1.47	15	wrong_link
1.67666666667	1.57	1.32	2.14	2	wrong_link
1.55333333333	1.57	1.62	1.47	15	wrong_link
0.84	0.78	0.94	0.8	0	invent_ante
0.84	0.78	0.94	0.8	2	invent_ana
0.993333333333	0.79	0.85	1.34	2	false_neg
0.696666666667	0.78	1.07	0.24	8	invent_ana
0.84	0.78	0.94	0.8	2	invent_ana
0.726666666667	0.78	1.03	0.37	5	invent_ana
1.99	0.79	2.78	2.4	15	false_neg
1.99	0.79	2.78	2.4	15	false_neg
1.88666666667	1.57	1.91	2.18	15	wrong_link
0.84	0.78	0.94	0.8	0	invent_ante
2.01333333333	1.57	1.61	2.86	2	wrong_link
0.84	0.78	0.94	0.8	0	invent_ante
2.25666666667	0.79	3.41	2.57	15	false_neg
2.25666666667	0.79	3.41	2.57	15	false_neg
2.25666666667	0.79	3.41	2.57	15	false_neg
2.18666666667	0.78	2.57	3.21	5	wrong_link
2.18666666667	0.78	2.57	3.21	5	wrong_link
0.75	0.78	1.02	0.45	0	invent_ante
2.01333333333	1.57	1.61	2.86	2	wrong_link
1.88666666667	1.57	1.91	2.18	15	wrong_link
2.01333333333	1.57	1.61	2.86	2	wrong_link
0.84	0.78	0.94	0.8	0	invent_ante
2.01333333333	1.57	1.61	2.86	2	wrong_link
1.88666666667	1.57	1.91	2.18	15	wrong_link
0.84	0.78	0.94	0.8	0	invent_ante
2.01333333333	1.57	1.61	2.86	2	wrong_link
1.88666666667	1.57	1.91	2.18	15	wrong_link
0.84	0.78	0.94	0.8	0	invent_ante
2.01333333333	1.57	1.61	2.86	2	wrong_link
0.84	0.78	0.94	0.8	0	invent_ante
1.88666666667	1.57	1.91	2.18	15	wrong_link
1.88666666667	1.57	1.91	2.18	15	wrong_link
0.84	0.78	0.94	0.8	0	invent_ante
2.01333333333	1.57	1.61	2.86	2	wrong_link
0.84	0.78	0.94	0.8	0	invent_ante
2.01333333333	1.57	1.61	2.86	2	wrong_link
0.84	0.78	0.94	0.8	0	invent_ante
0.84	0.78	0.94	0.8	0	invent_ante
1.88666666667	1.57	1.91	2.18	15	wrong_link
0.84	0.78	0.94	0.8	0	invent_ante
2.01333333333	1.57	1.61	2.86	2	wrong_link
1.88666666667	1.57	1.91	2.18	15	wrong_link
0.84	0.78	0.94	0.8	0	invent_ante
2.01333333333	1.57	1.61	2.86	2	wrong_link
0.84	0.78	0.94	0.8	0	invent_ante
1.88666666667	1.57	1.91	2.18	15	wrong_link
0.84	0.78	0.94	0.8	0	invent_ante
2.01333333333	1.57	1.61	2.86	2	wrong_link
0.84	0.78	0.94	0.8	0	invent_ante
1.88666666667	1.57	1.91	2.18	15	wrong_link
1.88666666667	1.57	1.91	2.18	15	wrong_link
0.84	0.78	0.94	0.8	0	invent_ante
