#pron	#agr
我	1sg
你	2sg
他	Mpl
我们	1pl
他们	Mpl
这	I
她	Fpl
自己	1sg
自己	2sg
自己	2pl
自己	M
自己	F
自己	Mpl
自己	Fpl
它	I
什么	I
那	I
那个	I
这个	I
你们	2pl
其	I
谁	M
谁	F
谁	Mpl
谁	Fpl
大家	1pl
这样	I
这里	I
双方	Mpl
双方	Fpl
双方	2pl
此	I
您	2sg
那里	I
别人	Mpl
别人	M
人家	M
人家	1sg
这边	I
哪里	I
这儿	I
那边	I
那儿	I
一切	Ipl
它们	Ipl
啥	I
这些	Ipl
哪	I
咱	1pl
她们	Fpl
本身	1sg
本身	1pl
本身	2sg
本身	2pl
本身	M
本身	F
本身	Mpl
本身	Fpl
咱们	1pl
之	I
之	M
之	F
对方	M
对方	F
自身	I
自身	1sg
自身	1pl
自身	2sg
自身	2pl
自身	M
自身	F
自身	Mpl
自身	Fpl
本人	1sg
本人	2sg
本人	M
本人	F
俺	1sg
哪儿	I
嘛	I
以上	Ipl
哪个	I
那样	I
自我	1sg
自我	1pl
自我	2sg
自我	2pl
自我	M
自我	F
自我	Mpl
自我	Fpl
个人	1sg
个人	1pl
个人	2sg
个人	2pl
个人	M
个人	F
个人	Mpl
个人	Fpl
什么样	I
各自	I
各自	1sg
各自	2sg
各自	M
各自	F
彼此	1pl
他人	Mpl
其他	Ipl
别的	I
别的	Ipl
各位	M
各位	F
那边儿	I
何	I]
那些	Ipl
有些	Ipl
人	M
人	F
何时	I
这边儿	I
神马	I
各	I
以下	Ipl
怎样	I
其它	Ipl
自	1sg
自	1pl
自	2sg
自	1pl
自	M
自	F
自	Mpl
自	Fpl
个个	1pl
个个	2pl
个个	Mpl
个个	Fpl
哪些	Ipl
己	1sg
俩	1pl
人人	Mpl
何处	I
偶	1sg
相互	Ipl
相互	Mpl
相互	Fpl
相互	2pl
那块儿	I
我方	1sg
其余	Ipl
处处	I
老子	1sg
老子	M
这样子	I
吾	1sg
孰	M
怎么	I
我等	1pl
自家	1sg
别个	I
您们	2pl
所有	Ipl
哪样	I
我們	1pl
我国	1sg
这块	I
下面	Ipl
后者	M
自个儿	1sg
自个儿	2sg
自个儿	M
自个儿	F
这样儿	I
那样儿	I
何方	I
什麽	I
鄙人	1sg
这块儿	I
这面儿	I
君	2sg
俺们	1pl
什磨	I
到处	Ipl
全部	Ipl
各方	I
哪边	I
大伙	Mpl
有人	M
某人	M
某人	F
某某	M
谁人	M
那位	F
那位	M
你自己	2sg
我本身	1sg
丫	2sg
恁	Mpl
恁	Fpl
敝	2sg
甚	I
一方	I
他国	M
你們	2pl
一边	I
上面	Ipl
全体	Mpl
你门	2pl
别家	I
各地	I
另我	1sg
咋们	1pl
啥么	I
啥样	I
如何	I
此地	I
那会	I
那块	I
那时	I
别人儿	Mpl
别人儿	Fpl
谁谁谁	M
谁谁谁	F
这些个	Ipl
上	Ipl
予	1sg
亲	2sg
农	2sg
双	1pl
双	Mpl
双	Fpl
双	Ipl
咋	I
嫩	2sg
彼	2sg
欧	1sg
汝	2sg
一些	Ipl
一己	1sg
一己	2sg
一己	M
一己	F
不才	1sg
介个	I
么样	I
他处	I
他方	I
何地	I
介样	I
两者	Ipl
两者	Mpl
两者	Fpl
互相	1pl
互相	2pl
互相	Mpl
互相	Fpl
互相	Ipl
二者	Ipl
偶们	1pl
你等	2pl
别处	I
前者	I
各个	I
各人	M
前面	Ipl
咱家	1pl
吾等	1pl
啥子	I
哪裡	I
哪面	I
尔曹	2pl
己方	I
我俩	1pl
您老	2sg
此处	I
谁们	Mpl
谁们	Fpl
这带	I
那方	I
這邊	I
那面	I
大家伙	1pl
我个人	1sg
这些子	Ipl
那个些	Ipl
